# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
18 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (4, 5), (5, 6)]
21 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 5), (4, 5), (5, 7)]
26 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 7), (4, 5), (5, 6)]
27 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 6), (4, 5), (5, 7)]
28 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (4, 7), (5, 6)]
29 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (4, 6), (5, 7)]
30 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (3, 5), (4, 5), (6, 7)]
56 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 6), (4, 5), (5, 6)]
57 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (3, 5), (4, 6), (5, 6)]
62 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 7), (4, 5), (5, 6)]
63 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 5), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (3, 6), (4, 5), (5, 7)]
