# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
15 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 7), (3, 4), (3, 4), (3, 4), (3, 7), (4, 5), (5, 6), (5, 6), (5, 6)]
17 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 7), (3, 4), (3, 4), (3, 4), (3, 5), (4, 7), (5, 6), (5, 6), (5, 6)]
20 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 5), (4, 5), (5, 6), (5, 6)]
21 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (5, 6)]
22 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 5), (4, 7), (4, 7), (5, 6), (5, 6)]
23 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (4, 5), (5, 6), (5, 6), (5, 7)]
24 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 6), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 5), (4, 7), (5, 6), (5, 6), (5, 7)]
32 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 7), (3, 4), (3, 4), (3, 4), (3, 7), (4, 6), (5, 6), (5, 6), (5, 6)]
33 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 7), (3, 4), (3, 4), (3, 4), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6)]
37 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 5), (4, 6), (5, 6), (5, 6)]
38 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 6)]
39 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 6)]
40 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
41 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
42 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (4, 6), (5, 6), (5, 6), (5, 7)]
43 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (4, 5), (5, 6), (5, 6), (6, 7)]
44 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 6), (4, 7), (5, 6), (5, 6), (5, 7)]
45 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 4), (3, 5), (4, 7), (5, 6), (5, 6), (6, 7)]
49 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 6), (4, 6), (5, 6), (5, 6)]
50 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 6)]
51 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6)]
52 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 4), (3, 7), (4, 6), (5, 6), (5, 6), (6, 7)]
53 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 5), (2, 5), (2, 5), (2, 6), (3, 4), (3, 4), (3, 4), (3, 6), (4, 7), (5, 6), (5, 6), (6, 7)]
99 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 7), (3, 7), (4, 5), (5, 6), (5, 6), (5, 6)]
101 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 4), (2, 5), (2, 6), (2, 6), (3, 4), (3, 4), (3, 5), (3, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
